ID,Nom,Reticence,Deplacement,Communication,Militaire,Ingenierie,Skill,Skill_Title,Skill_Desc,Chara_icon,Relationship
A,John Stark,2,3,1,4,2,ELITE,Agent d'élite,Peut tuer tous les soldats (au lieu d'un seul) d'un lieu pour une action.,,2.09375
D,George Tasker,2,3,1,3,3,TRACK,Pisteur,Permet d'emprunter les chemins de montagne comme une route normale.,,2.0625
E,Tom Llewellyn,3,3,3,2,2,PI,Enquêteur,Pioche une carte supplémentaire lors d'une action de recherche d'indice.,,2.25
L,Howard Courtenay,1,3,2,1,4,DISCREET,Discret,N'est pas impacté par les soldats lors de ses déplacements.,,1.9375
R,Charles Ambler,2,3,2,2,2,POLY,Polyvalent,"Commence avec un jeton Planification, qu'il place sur la compétence de son choix, et ne le défausse jamais.\13\Au début de chaque tour des joueurs, il peut déplacer ce jeton sur une autre compétence.",,2.0625
S,Franco Grazzini,2,3,2,3,2,HERO,Héros de la Résistance,Peut utiliser l'action majeure d'une carte Résistance sans la défausser en l'échange de deux jetons Résistance.,,2.125
X,Virginia Caygill,1,3,3,3,1,COMMANDO,Commando,Peut effectuer une action de tuerie à distance (dans un lieu voisin) pour une action.,,1.78125
AB,Jenny Adams,3,3,3,1,3,SEARCH,Chercheur,Permet de garder deux cartes au lieu d'une lors d'une action de fouille.,,2.4375
AC,Sarah Maddocks,0,3,4,2,1,SPY,Espion,N'est pas impactée par la présence de soldats pour les actions d'enquête.,,1.71875
AE,Amelia Randles,0,3,4,1,2,HOPE,Aura d'espoir,Empêche l'arrivée de soldats ennemis dans le lieu où la joueuse est présente + les lieux voisins.,,1.5
