Titre,Description,Nb de cartes
Renfort,"Piochez immédiatement un jeton Zone dans le sac des zones d'invasion et ajoutez 3 soldats au lieu tiré.\13\Défaussez jusqu'à trois cubes Résistance (pour toute l'équipe de joueurs) pour réduire le nombre de soldats ajoutés (1 par cube).",2
Renfort,"Piochez immédiatement un jeton Zone dans le sac des zones d'invasion et ajoutez 3 soldats au lieu tiré.\13\Défaussez jusqu'à trois cubes Résistance (pour toute l'équipe de joueurs) pour réduire le nombre de soldats ajoutés (1 par cube).",2
Intimidation,"Supprimez 1 carte Résistance au hasard parmi celles disponibles.\13\Si aucune carte Résistance n'est disponible, défaussez un cube Résistance par joueur.",2
Intimidation,"Supprimez 1 carte Résistance au hasard parmi celles disponibles.\13\Si aucune carte Résistance n'est disponible, défaussez un cube Résistance par joueur.",2
Fouilles systématiques,"Les joueurs possédant des éléments de bombe dans leur inventaire doivent en défausser un.\13\Chaque joueur peut défausser un cube Résistance pour ne pas défausser de cartes (un cube par carte).",2
Fouilles systématiques,"Les joueurs possédant des éléments de bombe dans leur inventaire doivent en défausser un.\13\Chaque joueur peut défausser un cube Résistance pour ne pas défausser de cartes (un cube par carte).",2
Dommages collatéraux,"Supprimez 1 personnage recruté de chacun des joueurs.\13\Chaque joueur peut défausser un cube Résistance pour annuler la suppression de son personnage.",2
Dommages collatéraux,"Supprimez 1 personnage recruté de chacun des joueurs.\13\Chaque joueur peut défausser un cube Résistance pour annuler la suppression de son personnage.",2
Renforcer la surveillance,Ajouter deux cubes par région (dans l'ordre décroissant des numéros de zones disponibles),2
Renforcer la surveillance,Ajouter deux cubes par région (dans l'ordre décroissant des numéros de zones disponibles),2
Recherchés,"Déplacer tous les pions joueurs vers la zone innocupée la plus proche (par numéro d'ordre décroissant).\13\Avancer les pions joueurs sur l'échelle de compteur d'actions de 1 case.",2
Recherchés,"Déplacer tous les pions joueurs vers la zone innocupée la plus proche (par numéro d'ordre décroissant).\13\Avancer les pions joueurs sur l'échelle de compteur d'actions de 1 case.",2
